,,,
BBQ Momo,ул. Търговска 164,42.47566937,26.52821405
BBQ,бул.княз Александър Дондуков 15,42.69801712,23.32810974
Be Fresh,ул. Алабин 46,42.69486511,23.32062265
Best Burgers,бул. Сливница 153,43.2162103,27.9038589
Bianco Carello,Южен Парк (вход бул. Гоце Делчев),42.66507339,23.30311966
Bianco Family,ул. Оборище 18,43.079169,25.59983
Big Fat Boy,бул. Янко Комитов 16А,42.516814,27.4462
Big Panda,ул. Алабин 22,42.69481021,23.31735581
Big Poppa,"Студентски град, бл. 58, вх. В",42.6437354,23.3414827
Bishoku,ул. Павел Куртевич 10,42.14886593,24.74935634
Bistro Nida,Ул. Генерал Столипин 17,43.21090467,27.92010373
Bizarre Bar and Dinner,ул. Академик Стефан Младенов 68,42.6464274,23.34498294
Black Sheep Beerhouse,бул. Княз Борис I 62,43.2063264,27.9207724
Black Sheep Brewhouse,ул. Цар Симеон I 27,43.20009407,27.91274612
Bodega (Варна),бул. Сливница 7,43.20409209,27.92148253
Bodega (Цар Асен),yл. Цар Асен I-ви 6,42.69447769,23.3193478
Bodega (Център),бул. Цар Освободител 8А,42.69536467,23.32858954
BomBa burgers,"ж.к. Лозенец, ул.Вежен 12А",42.67549804,23.31975877
Bombe,Стрелбище ул.Твърдишки Проход 15,42.67277527,23.29637909
Bonitas,ж.к. София Парк зад бл 16В,42.62077885,23.36936318
Boom! Burgers & Booze,бул. Цар Освободител 12,42.6943273,23.3307669
Boom! Burgers (The Mall),бул. Цариградско шосе 115,42.66085421,23.38297769
Boom! Burgers,"Южен парк 2, Summer Fest (зад музей Земята и Хората), шатра номер 3",42.68005827,23.32014444
Boss Burger,бул. Черни връх 100 мол Парадайс ет2,42.65723324,23.3139289
Botanique,ул.Козлодуй 140,42.70815158,23.30952018
Brasserie Jadore,бул. България 49А,42.66722106,23.29103891
Brick House,Ул. Христо Дюкмеджиев 20,42.14924354,24.74930188
Broadway club,ул. Съединение 21,42.1311841,24.787469
Brunch food,ул. Васил Кънчев 26,42.70958949,23.35610853
Buffalo,бул.Панчо Владигеров 20,42.71626145,23.2519573
Buonissimo,ул. Кирил и Методий 51,42.49836731,27.47788239
BURGAS ROOFTOP,ул. Хан Крум 5,42.49191361,27.47233822
Burger Bar Joy,ул. Царевец 19,42.13452964,24.71631328
Burger Boulevard,ул. Свети Княз Борис 93,42.42681649,25.63376499
Burger Brothers,бул. 8-ми приморски полк 87,43.21051516,27.92134545
Burger Club,"бул. Царица Йоана 15, Mega Mall",42.71031899,23.27076906
Burger House,ул. Ангел Войвода 85,42.70746273,23.36022601
Burgeria,ул. Янко Комитов 10A,42.51607538,27.4495002
Burger King (The Mall),"Бул. Цариградско шосе 115, ет.2",42.66068393,23.38308118
Burger King (Бургас),"ул. Янко Комитов № 6, ет. 2",42.51276933,27.45425746
Burger King (Пловдив),"бул. Руски № 54, ет. 2",42.14124959,24.74120628
Burger King (Сердика),ул. Ситняково 48,42.6915091,23.35401455
Burger King (Слънчев бряг),Алея Кубан,42.6943862,27.71409568
Burgerland & Grill,ул. проф. Георги Брадистилов 3,42.657041,23.357657
Burgero (Новата Бърлога),ул. Акад. Андрей Сахаров 1,43.22077536,27.89871544
Burger Point (Бургас),бул. Транспортна 23 - Кауфланд (Изгрев),42.53141853,27.46119488
Burger Point (Милин Камък),ул. Милин Камък 5А,42.4745995,26.52603171
Burger Point (Търговска),ул. Търговска 58В,42.48139061,26.51350033
Burger Point (Цар Освободител),ул. Цар Освободител 2,42.48464457,26.5044336
Burgers by Encasa,"парк Лебеда, срещу Лидл",41.9295219,25.561748
Burger Sport Cafe - For Family,кв. Възраждане II до бл. 45,43.23566543,27.88973901
Burgers & Sport,ул. Независимост 2,43.56985048,27.8287237
Burger Star,До пощата,42.66280077,27.71916456
Burger Station,бул. Витоша 102,42.6861496,23.3172493
Butlers Coffee & Kitchen,ул. Лермонтов 13,42.4933745,27.4742237
Buzzz,"жк. Западен парк, срещу блок 93",42.7024149,23.2831014
Cactus,ул. Солунска 14,42.692759,23.3207158
Café & Bakery Nida,ул. Хаджи Димитър 34,43.2152538,27.9117446
Cafe Parallel 43,бул. Витоша 192,42.6755065,23.3088784
Cake Collection,ул. Родопи 113,42.13677161,24.75967694
Candles,ул.Неофит Рилски 11,43.21766946,27.90880591
Candy Cafe,ул. Генерал Столетов 149,42.42984782,25.63370932
Candy club,бул. Джеймс Баучер 100,42.6720175,23.3180187
Cantonata Express Center,ул. Васил Левски 174,43.41110245,24.61628141
Cantonata Express,бул. Владислав Варненчик 186,43.21989971,27.88966298
Caramel Relax bar & Dinner,ул Проф. Георги Брадостилов 1,42.6568999,23.35828051
