name,address,latitude,longitude
,,42.49902256,27.47383764
McDonald's™ (Ялта),бул. Цар Освободител 22,42.69288409,23.33436766
Atelier Del Gelato Baci,бул.Витоша 44,42.69098402,23.31932071
Ресторант Оазис,ул. Могилите 2,42.7108982,23.3759193
Peperoncino (Младост),ул. Бизнес парк София 2,42.62860901,23.37372645
Burger King (Сердика),ул. Ситняково 48,42.6915091,23.35401455
UNO Street Food,ул. Академик Андрей Сахаров 2,43.21735811,27.89817731
Зеленият кът (Mall Plovdiv),ул. Перущица 8,42.14169786,24.71927216
Кохинор Индийски Ресторант,бул. Гоце Делчев 67,42.67415391,23.29163197
,,,
Палачинкарница Тиган,ул. Абаджийска 2,42.1484388,24.74914793
Gyroland (Васил Априлов),бул. Васил Априлов 56,42.1410699,24.7344652
Верди,бул. „България“ 140,42.15984755,24.74142511
,,,
Family Pizza&Restaurant,"Ул. Д-р Лудвиг Заменхов, до Блок 86",42.70503021,23.3699435
La Bocca Piccola,бул. Княз Борис I 68,43.20658489,27.92114784
Tapas,ул.Ганчо Карамаждраков 2,43.8294458,25.97689927
Сръбска скара при Миро (Сердика Център),бул. Ситняково 48,42.6915147,23.3538327
Starbucks (Serdika Center),бул. Ситняково 48,42.69129811,23.35389389
La Pastaria (Шипка),ул.Шипка 41,42.69285721,23.34361374
NKD Pizza - (Corporate),ул. Професор Георги Брадистилов 8,42.65709261,23.35796784
McDonald's™ (София прес),бул. Цариградско шосе 113A,42.66169476,23.37919328
Парадайз 87,ул. Гривишко шосе 6,43.41772217,24.6472087
Umami,бул. Джеймс Баучър 100,42.67227554,23.31885147
McDonald's™ (Mall Plovdiv),ул. Перущица 8,42.14208346,24.71913523
Pizza Hero (Верила),ул. Верила 3,42.68738266,23.31771416
Sushi Boom,ул. Цар Самуил 42,42.500741,27.466373
Падуа,ул. Мюнхен 12,42.660122,23.411038
Antica Toscana,ул. Свети Патриарх Евтимий 9,42.49157597,27.46877946
Lili pham,ул. Славянска 29,42.6917939,23.3314063
Бистро Джони,"ж.к. Надежда, бул. Ломско шосе 165",42.73456607,23.29348844
La Vita,ул. Балчик 7,43.21843695,27.9209634
VICTORIA (Ловен Парк),"бул. Симеоновско шосе 1, Ловен парк",42.66252943,23.34014933
VICTORIA (Черковна),ул. Черковна 75 В,42.69199459,23.35178853
Da Nino,"Бул. Витоша 4 , до пиците на Алабин 42",42.69485963,23.32072066
Sushi of Tokyo,бул. Янко Комитов 16А,42.516814,27.4462
Pizza Momo,ул.Георги С Раковски 11,42.48433799,26.51054518
И Диен Юан Райска Градина (Corporate),бул.Никола Габровски 100,42.65822983,23.34819412
Пицария Джиков (1),"ул. ""Гео Милев"", бл. 28",42.68363571,23.36060715
Fitness Panda,бул. Сливница 9,43.20417616,27.92134548
Ресторант Адмирал,ул. Св. Власий 62,42.7132021,27.7510911
Pomo Street Food,ул. Драгоман 45,43.20691908,27.91209106
Индийски ресторант Taj Mahal,ул. 11-ти Август 11,42.69808197,23.33215714
Дивака (Христо Белчев),ул. Христо Белчев 16,42.69299698,23.32118607
Vision,бул. 6-ти Септември 117,42.14907451,24.73846445
Broadway club,ул. Съединение 21,42.1311841,24.787469
Ресторант Аугуста,"Язовир Огоста, Язовирна стена, до ресторант Ринг",43.38910755,23.21592641
Big Poppa,"Студентски град, бл. 58, вх. В",42.6437354,23.3414827
Ресторант Сплендид,ул. Охрид 8,43.57014847,27.83234215
Le Chef Food & Mood (Grand Mall),ул. Академик Андрей Сахаров 2 Grand Mall ет.2,43.218226,27.897635
Kostas (Граф Игнатиев),ул. Граф Игнатиев 12,42.69331367,23.32310373
Pizza Verace,ж.к. Надежда ул. Царевец 22,42.72820261,23.29288781
Ресторант Форум,ул. Хаджи Димитър Асенов 94,42.42758409,25.62384677
My Place Burger,кв.Капана ул.Павел Куртевич 4,42.14881125,24.74895414
Yoko sushi,"ж.к. Младост 2, бул. Александър Малинов 75",42.63809586,23.37208748
The Sushi Bar,ул. Иван Денкоглу 18,42.69401169,23.31878662
Осман Баба катми,ул. Русе 5,43.20330263,27.91224716
Супермаркет Изобилие (Лешникова гора),ул. Лешникова гора 1,42.6337838,23.31011608
EDNO cafe,ул. Алеко Константинов 9,43.2109816,27.9067777
Edgy Veggy,ул. Уилям Гладстон 18Б,42.69189344,23.31722512
Трите прасенца,бул. Витоша 81,42.6845738,23.3164896
Sushi Street,ж.к Студентски град блок 54,42.644791,23.339879
Бургери Наслука,жк. Сторгозия срещу бл.51,43.4187569,24.5943513
БеГе,"бул. България 1, подлез Галерия",42.6826919,23.3210957
Facefood,ул. Методи Македонски 2,42.72291188,23.26916451
Ko-Ko Chicken Bistro,пл.Пенчо славейков между Hesburger и оптиката,42.691638,23.324882
Botanique,ул.Козлодуй 140,42.70815158,23.30952018
Снек бар При Точев,ул. Дойран 160,43.40697459,24.61679792
Geppetto pizza & grill,ул. Генерал Гурко 19,42.69242982,23.32738534
Бели Нощи,Ъгъла на ул. Ивайло и ул. Кавала,42.50221728,27.46258
,,,
Палачинки Pantastic (Център),ул. Цар Симеон I  131,42.50224236,27.47093215
Skapto (Искър 11A),"ул. ""Искър"" 11А",42.69965363,23.32660866
Ресторант Ниагара (Дойран),ул. Дойран 2,42.6786665,23.2910258
,,,
Porky's BBQ,бул. Дунав 29,42.16302007,24.74260398
hummusbar,ул. Граф Игнатиев 46,42.68939691,23.32722544
Fly Bar & Dinner (Дружба),бул. Искърско шосе 4,42.6674615,23.4034085
Папараци Бар & Грил,ул. Райко Даскалов 8,42.02147675,23.10009384
О! Шипка,ул. Шипка 11,42.69354096,23.34036496
,,,
Механа Воденицата,улица Крали Марко 3,43.42417407,24.59799677
El Mundo Sushi,Ул.България 4,43.56852486,27.82866933
Oscar,ул. Коломан 1,42.67383541,23.27058439
Бистро Венера,к-с Зорница под бл. 48,42.51528549,27.46443939
Emotion Restaurant,бул. Освобождение 3,42.14442006,24.78581272
Трите щерки,бул. Княз Александър Дондуков 60А,42.6989719,23.3384762
La Scalla (Велико Търново),ул. Христо Ботев 14,43.08061034,25.63325676
Родопски катми,ул. Дойран 28,42.67442574,23.2869017
Starbucks (Пловдив),ул. Перущица 8,42.14205159,24.71940314
Casa di Bianco,пл. Майка България 1,43.08143553,25.63217557
Гостилница York,ул. Одрин 7,42.51124047,27.44944011
Pizza Place (София),"бул. Черни връх 100, Мол Парадайс",42.6574213,23.315072
The Corner (Монтана),ул. Върбан Пенов 1,43.4002286,23.2358404
Двата лъва,ж.к. Овча Купел ул. Монтевидео 63,42.687907,23.255146
Gioia Amore Grande,ул. Мусала 9,43.2025159,27.9152849
Mekan Турски Ресторант,ул. Булаир 5,42.13732008,24.74906832
Amici Pizza & Grill (Левски),ул. Архитект Петко Момчилов 2,43.22101094,27.9187569
Вкусна пица,ж.к. Бистрица,42.25213294,23.12836562
Brunch food,ул. Васил Кънчев 26,42.70958949,23.35610853
Yoko sushi (Хаджи Димитър),ж.к. Хаджи Димитър ул. Макгахан 81,42.70722053,23.35133395
,,,
High Park,ж.к. Малинова долина ул. Георги Русев 2,42.63764615,23.33454572
Luciano pizza pasta salad,ул. Русе 13,43.2032814,27.91150475
Steak House Аверите,бул. Трети Март 27,43.40486548,23.22279215
Петлето (Лозенец),Лозенец ул. Страцин 9,42.66323471,23.31585121
Aladin foods (Варна 2),ул. Доктор Пискюлиев 58,43.20846149,27.90458405
Gossip - Bar Formula,бул. Владислав Варненчик 53-55,43.21064758,27.90748024
Art Club,ул. Цар Иван Асен II 6Б,42.69002224,23.33940804
Note di Vino,ул. Димитър Талев 87,42.11853502,24.73586261
Бистро Вкусито,ул. Осогово 52,42.7007234,23.3084604
Padre,ул. Червена стена 58,42.67037276,23.31619695
Райска хапка,бул. Александър Стамболийски 113,42.12429938,24.72266738
Бирария RagnaRock,ж.к. Стрелбище ул. Дедеагач 26,42.67704397,23.30137695
Sushi Corner,Приморски парк II №482,43.2153414,27.954852
24 Grill,бул. Цариградко шосе 14 ъгъла на Атанас Делчев,42.67459488,23.35936356
La Marquise,ул. Д-р Георги Вълкович 2,42.14556319,24.74945402
Porky's BBQ,бул. Дунав 29,42.16302007,24.74260398
Пицария Парчето,ул. Христо Ботев 3,42.2610275,23.12171
,,,
,,42.67747831,23.3006495
Scorpio,площад Възраждане,42.18966542,24.33362333
Пицария Каруцата,ул. Йордан Иванов до бл. 516а,42.68756996,23.26022116
,,,
Pizzi Frizzi,"ж.к. Младост 1A, бл.510",42.64887238,23.3802948
Vitamin C,бул. Витоша 28,42.69242916,23.31979843
La PastAria (Варна),"к-кс Пикадили Парк, бул. Приморски парк II 482",43.21533748,27.95486748
Pizza & Pasta restaurant Pastissima,ул Христо Ботев 121,42.42239574,25.63036247
Sushi King (Люлин),ж.к. Люлин 10 ул. Орион 33А,42.71327209,23.27174377
Sweet Waffle,"кв.Редута, ул.Велчо Атанасов 42",42.69077019,23.35870181
Давидов Barbeque,ул. Банска 9,41.56538808,23.28137625
Dunkin' Donuts (Гео Милев),ул. Хемус 2,42.68357738,23.35440457
Ам-Ам Грил,ул. Цар Освободител 164,43.2342443,27.8729202
Stella's Box (Сливница),бул. Сливница 169,43.21922752,27.89962264
Vitamin C,бул. Витоша 28,42.69242916,23.31979843
Родопска къща,Студентски град блок 21 до Барбекю,42.65200806,23.34438705
Le Petit Nicolas,бул. Дунав 5,42.1625967,24.736429
Вкусното (Ломско шосе),бул. Ломско шосе 60,42.72788342,23.30135286
Аламинут,ул.Търговска 56,43.14038977,24.71821107
Ego Pizza and Grill,улица Независимост 17,43.08387434,25.63406525
Chef's Family,ул. Уилям Гладстон 27,43.9917577,22.87892808
Ribu Ribu,бул. Цар Овободител 86 - 150,43.21494293,27.91386414
ГАНКА ЗАПЕКАНКА,ж.к. Лозенец ул. Вежен 12А,42.6755031,23.31975848
Gyroland (Васил Априлов),бул. Васил Априлов 56,42.1410699,24.7344652
Cardamon,ул. Райна Княгиня 17,42.49378928,27.47647793
Ресторант Златен Дракон,ул. Любен Каравелов 4,43.77675507,23.73583851
La Bottega Monte,бул. Черни връх 191,42.6361636,23.3108609
Ресторант Българань,ул.Мърфи 9,42.69540787,23.34803963
Китайски ресторант Герджика,ул. Победа 1,42.15466,24.7382112
Stella's Box (Сливница),бул. Сливница 169,43.21922752,27.89962264
,,,
